Sl..No.,States.UTs,Number.of.Total.Road.Accidents.of.Two.Wheelers,Number.of.Fatal.Road.Accidents.of.Two.Wheelers,Number.of.Persons.Killed.from.accidents.of.Two.Wheelers,Number.of.Persons.Injured.from.accidents.of.Two.Wheelers,Number.of.Total.Road.Accidents.of.Auto.Rickshaws,Number.of.Fatal.Road.Accidents.of.Auto.Rickshaws,Number.of.Persons.Killed.from.accidents.of.Auto.Rickshaws,Number.of.Persons.Injured.from.accidents.of.Auto.Rickshaws,Number.of.Total.Road.Accidents.of.Cars..Jeeps..Taxis,Number.of.Fatal.Road.Accidents.of.Cars..Jeeps..Taxis,Number.of.Persons.Killed.from.accidents.of.Cars..Jeeps..Taxis,Number.of.Persons.Injured.from.accidents.of.Cars..Jeeps..Taxis,Number.of.Total.Road.Accidents.of.Buses,Number.of.Fatal.Road.Accidents.of.Buses,Number.of.Persons.Killed.from.accidents.of.Buses,Number.of.Persons.Injured.from.accidents.of.Buses,Number.of.Total.Road.Accidents.of.Trucks..Tempos..MAVs..Tractors,Number.of.Fatal.Road.Accidents.of.Trucks..Tempos..MAVs..Tractors,Number.of.Persons.Killed.from.accidents.of.Trucks..Tempos..MAVs..Tractors,Number.of.Persons.Injured.from.accidents.of.Trucks..Tempos..MAVs..Tractors,Number.of.Total.Road.Accidents.of.Other.Motor.Vehicles,Number.of.Fatal.Road.Accidents.of.Other.Motor.Vehicles,Number.of.Persons.Killed.from.accidents.of.Other.Motor.Vehicles,Number.of.Persons.Injured.from.accidents.of.Other.Motor.Vehicles,Number.of.Total.Road.Accidents.of.Other.Vehicles.Objects,Number.of.Fatal.Road.Accidents.of.Other.Vehicles.Objects,Number.of.Persons.Killed.from.accidents.of.Other.Vehicles.Objects,Number.of.Persons.Injured.from.accidents.of.Other.Vehicles.Objects,Two.Wheelers...Number.of.Road.Accidents.Fatal,Two.Wheelers...Number.of.Road.Accidents.Total,Two.Wheelers...Number.of.Persons.Killed,Two.Wheelers...Number.of.Persons.Injured,Auto.Rickshaws...Number.of.Road.Accidents.Fatal,Auto.Rickshaws...Number.of.Road.Accidents.Total,Auto.Rickshaws...Number.of.Persons.Killed,Auto.Rickshaws...Number.of.Persons.Injured,Cars.Jeeps.Taxis...Number.of.Road.Accidents...Fatal,Cars..Jeeps.Taxis...Number.of.Road.Accidents...Total,Cars..Jeeps.Taxis...Number.of.Persons.Killed,Cars..Jeeps.Taxis...Number.of.Persons.Injured,Buses...Number.of.Road.Accidents...Fatal,Buses...Number.of.Road.Accidents...Total,Buses...Number.of.Persons...Killed,Buses...Number.of.Persons...Injured,Trucks.Tempos.MAVs.Tractors...Number.of.Road.Accidents...Fatal,Trucks..Tempos.MAVs.Tractors...Number.of.Road.Accidents...Total,Trucks.Tempos.MAVs.Tractors...Number.of.Persons...Killed,Trucks.Tempos.MAVs.Tractors...Number.of.Persons...Injured,Other.Motor.Vehicles...Number.of.Road.Accidents...Fatal...51,Other.Motor.Vehicles...Number.of.Road.Accidents...Total...52,Other.Motor.Vehicles...Number.of.Persons...Killed...53,Other.Motor.Vehicles...Number.of.Persons...Injured,Other.Vehicles.Objects...Number.of.Road.Accidents...Fatal,Other.Vehicles.Objects...Number.of.Road.Accidents...Total,Other.Vehicles.Objects...Number.of.Persons...Killed,Other.Vehicles.Objects...Number.of.Persons...Injured,Motor.Cycle..Scooter...Number.of.Road.Accidents...Fatal,Motor.Cycle..Scooter...Number.of.Road.Accidents...Total,Motor.Cycle..Scooter...Number.of.Persons...Killed,Motor.Cycle..Scooter...Number.of.Persons...Greviously.Injured,Motor.Cycle..Scooter...Number.of.Persons...Minor.Injured,Moped.Scootty...Number.of.Road.Accidents...Fatal,Moped.Scootty...Number.of.Road.Accidents...Total,Moped.Scootty...Number.of.Persons...Killed,Moped.Scootty...Number.of.Persons...Greviously.Injured,Moped.Scootty...Number.of.Persons...Minor.Injured,Auto.rickshaw...Number.of.Road.Accidents...Fatal,Auto.rickshaw...Number.of.Road.Accidents...Total,Auto.rickshaw...Number.of.Persons...Killed,Auto.rickshaw...Number.of.Persons...Greviously.Injured,Auto.rickshaw...Number.of.Persons...Minor.Injured,Motor.Car...Number.of.Road.Accidents...Fatal,Motor.Car...Number.of.Road.Accidents...Total,Motor.Car...Number.of.Persons...Killed,Motor.Car...Number.of.Persons...Greviously.Injured,Motor.Car...Number.of.Persons...Minor.Injured,Jeep...Number.of.Road.Accidents...Fatal,Jeep...Number.of.Road.Accidents...Total,Jeep...Number.of.Persons...Killed,Jeep...Number.of.Persons...Greviously.Injured,Jeep...Number.of.Persons...Minor.Injured,Taxi...Number.of.Road.Accidents...Fatal,Taxi...Number.of.Road.Accidents...Total,Taxi...Number.of.Persons...Killed,Taxi...Number.of.Persons...Greviously.Injured,Taxi...Number.of.Persons...Minor.Injured,Bus...Number.of.Road.Accidents...Fatal,Bus...Number.of.Road.Accidents...Total,Bus...Number.of.Persons...Killed,Bus...Number.of.Persons...Greviously.Injured,Bus...Number.of.Persons...Minor.Injured,Truck.Lorry...Number.of.Road.Accidents...Fatal,Truck.Lorry...Number.of.Road.Accidents...Total,Truck.Lorry...Number.of.Persons...Killed,Truck.Lorry...Number.of.Persons...Greviously.Injured,Truck.Lorry...Number.of.Persons...Minor.Injured,Tempo...Number.of.Road.Accidents...Fatal,Tempo...Number.of.Road.Accidents...Total,Tempo...Number.of.Persons...Killed,Tempo...Number.of.Persons...Greviously.Injured,Tempo...Number.of.Persons...Minor.Injured,Articulated.Vehicle.Trolly...Number.of.Road.Accidents...Fatal,Articulated.Vehicle.Trolly...Number.of.Road.Accidents...Total,Articulated.Vehicle.Trolly...Number.of.Persons...Killed,Articulated.Vehicle.Trolly...Number.of.Persons...Greviously.Injured,Articulated.Vehicle.Trolly...Number.of.Persons...Minor.Injured,E.Rickshaw...Number.of.Road.Accidents...Fatal,E.Rickshaw...Number.of.Road.Accidents...Total,E.Rickshaw...Number.of.Persons...Killed,E.Rickshaw...Number.of.Persons...Greviously.Injured,E.Rickshaw...Number.of.Persons...Minor.Injured,Tractor...Number.of.Road.Accidents...Fatal,Tractor...Number.of.Road.Accidents...Total,Tractor...Number.of.Persons...Killed,Tractor...Number.of.Persons...Greviously.Injured,Tractor...Number.of.Persons...Minor.Injured,Other.Motor.Vehicles...Number.of.Road.Accidents...Fatal...119,Other.Motor.Vehicles...Number.of.Road.Accidents...Total...120,Other.Motor.Vehicles...Number.of.Persons...Killed...121,Other.Motor.Vehicles...Number.of.Persons...Greviously.Injured,Other.Motor.Vehicles...Number.of.Persons...Minor.Injured,Other.Objects....Number.of.Road.Accidents...Fatal,Other.Objects....Number.of.Road.Accidents...Total,Other.Objects....Number.of.Persons...Killed,Other.Objects....Number.of.Persons...Greviously.Injured,Other.Objects....Number.of.Persons...Minor.Injured
1,Andhra Pradesh,9204.0,2724.0,2901.0,9639.0,6556.0,1488.0,1630.0,9163.0,7584.0,1924.0,2173.0,9294.0,3497.0,1191.0,1339.0,4321.0,10082.0,4114.0,4612.0,11947.0,3552.0,1400.0,1525.0,4004.0,2049.0,719.0,784.0,3184.0,1961.0,7239.0,2003.0,7333.0,950.0,4442.0,977.0,7173.0,889.0,3853.0,911.0,5429.0,550.0,1732.0,567.0,2242.0,1701.0,4324.0,1758.0,5144.0,760.0,1571.0,808.0,1321.0,466.0,1279.0,884.0,1289.0,2060.0,7107.0,2139.0,2027.0,5292.0,48.0,170.0,51.0,76.0,100.0,794.0,3775.0,841.0,1320.0,5033.0,853.0,3468.0,965.0,1076.0,3292.0,165.0,468.0,196.0,138.0,572.0,72.0,252.0,85.0,118.0,221.0,562.0,1667.0,633.0,458.0,1805.0,1297.0,3561.0,1497.0,792.0,2984.0,82.0,193.0,90.0,80.0,156.0,26.0,44.0,32.0,20.0,5.0,3.0,8.0,3.0,7.0,1.0,578.0,1265.0,610.0,330.0,1194.0,913.0,1788.0,969.0,540.0,1199.0,370.0,1049.0,400.0,206.0,945.0
2,Aruchal Pradesh,12.0,13.0,13.0,21.0,27.0,34.0,6.0,37.0,41.0,16.0,21.0,76.0,11.0,5.0,10.0,53.0,50.0,19.0,25.0,77.0,41.0,10.0,50.0,118.0,41.0,25.0,13.0,17.0,15.0,34.0,21.0,30.0,7.0,17.0,7.0,36.0,17.0,42.0,25.0,72.0,5.0,15.0,7.0,27.0,21.0,42.0,26.0,85.0,0.0,0.0,0.0,0.0,27.0,55.0,33.0,58.0,26.0,60.0,34.0,42.0,22.0,11.0,28.0,19.0,29.0,10.0,1.0,4.0,2.0,7.0,4.0,6.0,20.0,9.0,39.0,13.0,0.0,0.0,0.0,0.0,0.0,32.0,73.0,41.0,76.0,27.0,4.0,19.0,8.0,19.0,9.0,16.0,33.0,21.0,45.0,19.0,3.0,6.0,9.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,8.0,2.0,0.0,0.0,219.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0
3,Assam,1278.0,432.0,457.0,906.0,286.0,57.0,53.0,422.0,1454.0,419.0,454.0,1447.0,634.0,192.0,239.0,1148.0,1694.0,526.0,652.0,1639.0,838.0,240.0,279.0,907.0,351.0,145.0,157.0,240.0,489.0,1508.0,537.0,1342.0,65.0,292.0,75.0,296.0,475.0,1612.0,533.0,1422.0,176.0,628.0,246.0,788.0,517.0,1766.0,637.0,1538.0,374.0,1089.0,401.0,895.0,73.0,249.0,93.0,218.0,650.0,2009.0,539.0,1375.0,273.0,69.0,183.0,75.0,152.0,43.0,75.0,346.0,72.0,411.0,113.0,458.0,1379.0,547.0,782.0,188.0,73.0,307.0,85.0,259.0,34.0,120.0,424.0,146.0,264.0,51.0,222.0,778.0,242.0,527.0,130.0,513.0,1068.0,571.0,519.0,87.0,135.0,527.0,147.0,418.0,100.0,19.0,86.0,22.0,57.0,7.0,2.0,6.0,6.0,3.0,7.0,37.0,87.0,53.0,73.0,21.0,0.0,0.0,0.0,0.0,0.0,44.0,120.0,48.0,90.0,25.0
4,Bihar,1803.0,724.0,733.0,1253.0,376.0,137.0,146.0,318.0,1900.0,857.0,943.0,1492.0,1285.0,534.0,601.0,1055.0,3243.0,1620.0,1754.0,2138.0,904.0,478.0,491.0,475.0,809.0,356.0,388.0,411.0,769.0,1750.0,820.0,1131.0,126.0,354.0,144.0,326.0,726.0,1490.0,786.0,1077.0,478.0,961.0,543.0,680.0,1521.0,2828.0,1639.0,1818.0,271.0,596.0,291.0,443.0,614.0,1577.0,690.0,1165.0,867.0,1687.0,948.0,688.0,402.0,57.0,142.0,63.0,65.0,41.0,199.0,383.0,216.0,156.0,131.0,367.0,681.0,404.0,299.0,196.0,252.0,456.0,264.0,243.0,112.0,100.0,175.0,108.0,96.0,35.0,466.0,836.0,566.0,451.0,248.0,919.0,1557.0,979.0,626.0,209.0,292.0,652.0,337.0,362.0,218.0,34.0,77.0,36.0,55.0,16.0,10.0,15.0,13.0,6.0,6.0,390.0,659.0,427.0,301.0,145.0,0.0,0.0,0.0,0.0,0.0,299.0,555.0,344.0,562.0,125.0
5,Chhattisgarh,3325.0,524.0,610.0,3688.0,333.0,33.0,37.0,338.0,2234.0,352.0,380.0,2844.0,747.0,158.0,190.0,1224.0,2645.0,747.0,877.0,2645.0,3725.0,853.0,927.0,2330.0,502.0,116.0,146.0,448.0,1074.0,4787.0,1126.0,4295.0,31.0,311.0,37.0,296.0,469.0,2978.0,648.0,3159.0,148.0,675.0,189.0,1330.0,940.0,2907.0,1082.0,2448.0,766.0,1648.0,786.0,1191.0,142.0,515.0,154.0,438.0,1110.0,4332.0,1158.0,658.0,3143.0,92.0,427.0,98.0,74.0,293.0,35.0,344.0,35.0,51.0,343.0,299.0,1802.0,325.0,276.0,1568.0,161.0,840.0,208.0,132.0,754.0,32.0,182.0,34.0,54.0,172.0,134.0,599.0,151.0,203.0,724.0,833.0,2658.0,908.0,362.0,1624.0,14.0,74.0,15.0,54.0,81.0,24.0,57.0,28.0,16.0,49.0,0.0,0.0,0.0,0.0,0.0,264.0,724.0,308.0,192.0,556.0,424.0,1162.0,231.0,195.0,1099.0,79.0,280.0,97.0,53.0,155.0
6,Goa,1884.0,121.0,130.0,879.0,120.0,2.0,2.0,36.0,1527.0,78.0,81.0,650.0,204.0,201.0,18.0,258.0,391.0,26.0,33.0,130.0,0.0,0.0,0.0,0.0,250.0,27.0,28.0,133.0,130.0,1907.0,134.0,838.0,2.0,34.0,2.0,17.0,60.0,1374.0,63.0,533.0,23.0,354.0,23.0,277.0,33.0,315.0,33.0,105.0,0.0,8.0,0.0,0.0,35.0,242.0,35.0,109.0,129.0,2064.0,136.0,131.0,663.0,0.0,5.0,0.0,0.0,2.0,3.0,36.0,3.0,4.0,18.0,62.0,1241.0,67.0,54.0,476.0,6.0,61.0,8.0,3.0,31.0,1.0,25.0,1.0,0.0,13.0,45.0,493.0,48.0,36.0,378.0,34.0,165.0,36.0,120.0,73.0,10.0,72.0,11.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,2.0,12.0,1445.0,102.0,23.0,20.0,42.0
7,Gujarat,6431.0,1541.0,1698.0,6184.0,2750.0,533.0,578.0,3033.0,4995.0,1158.0,1428.0,5356.0,1275.0,293.0,374.0,1588.0,6686.0,1839.0,2030.0,6010.0,1843.0,623.0,703.0,1766.0,3969.0,909.0,1006.0,3713.0,1535.0,5562.0,1689.0,5123.0,507.0,2186.0,596.0,2641.0,1165.0,4415.0,1369.0,4620.0,364.0,1165.0,438.0,1372.0,1873.0,5458.0,2081.0,4450.0,702.0,1763.0,793.0,1725.0,917.0,3163.0,989.0,2562.0,1893.0,5848.0,2057.0,2692.0,2451.0,126.0,441.0,143.0,193.0,230.0,534.0,2008.0,635.0,901.0,1137.0,1126.0,3789.0,1256.0,1825.0,1919.0,377.0,1081.0,427.0,563.0,649.0,68.0,233.0,86.0,95.0,134.0,340.0,1047.0,468.0,662.0,694.0,1368.0,3537.0,1513.0,1459.0,1250.0,360.0,1050.0,397.0,491.0,452.0,91.0,199.0,96.0,101.0,102.0,0.0,0.0,0.0,0.0,0.0,162.0,414.0,177.0,210.0,211.0,108.0,260.0,119.0,126.0,144.0,630.0,1638.0,650.0,569.0,468.0
8,Harya,1084.0,276.0,301.0,1420.0,389.0,120.0,180.0,275.0,2590.0,864.0,1009.0,2361.0,633.0,302.0,330.0,642.0,2825.0,1237.0,1424.0,2555.0,1249.0,579.0,550.0,1475.0,1295.0,585.0,652.0,724.0,300.0,1131.0,318.0,1370.0,129.0,405.0,180.0,250.0,898.0,2647.0,989.0,2281.0,315.0,644.0,330.0,617.0,1288.0,2934.0,1353.0,2432.0,597.0,1271.0,605.0,1424.0,687.0,1644.0,708.0,570.0,527.0,1638.0,552.0,325.0,1255.0,77.0,203.0,43.0,33.0,79.0,127.0,429.0,144.0,97.0,367.0,1004.0,2623.0,1079.0,501.0,2123.0,239.0,534.0,223.0,98.0,468.0,170.0,394.0,480.0,52.0,261.0,327.0,669.0,320.0,164.0,574.0,1117.0,2357.0,1165.0,418.0,1653.0,296.0,630.0,268.0,114.0,486.0,144.0,271.0,143.0,36.0,110.0,63.0,161.0,56.0,35.0,98.0,290.0,717.0,304.0,133.0,322.0,0.0,0.0,0.0,0.0,0.0,177.0,466.0,179.0,92.0,344.0
9,Himachal Pradesh,697.0,144.0,144.0,845.0,25.0,1.0,1.0,36.0,1114.0,302.0,486.0,2050.0,207.0,40.0,176.0,950.0,653.0,177.0,224.0,1097.0,184.0,63.0,72.0,252.0,19.0,5.0,6.0,18.0,165.0,814.0,169.0,1083.0,230.0,797.0,303.0,1314.0,204.0,664.0,444.0,1984.0,109.0,409.0,126.0,584.0,123.0,373.0,157.0,610.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,438.0,180.0,645.0,192.0,340.0,572.0,5.0,18.0,5.0,10.0,13.0,4.0,13.0,5.0,3.0,12.0,290.0,813.0,400.0,405.0,1455.0,105.0,271.0,147.0,126.0,408.0,8.0,37.0,13.0,14.0,64.0,53.0,177.0,127.0,194.0,797.0,110.0,348.0,120.0,104.0,338.0,16.0,53.0,18.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,65.0,37.0,23.0,58.0,0.0,0.0,0.0,0.0,0.0,195.0,728.0,207.0,236.0,512.0
10,Jammu & Kashmir,1144.0,189.0,191.0,560.0,176.0,14.0,16.0,42.0,314.0,68.0,73.0,240.0,1235.0,132.0,379.0,1123.0,1891.0,266.0,274.0,1331.0,1608.0,172.0,201.0,5645.0,341.0,22.0,31.0,814.0,226.0,1101.0,256.0,709.0,10.0,64.0,15.0,174.0,140.0,725.0,170.0,769.0,98.0,1590.0,105.0,1519.0,204.0,1364.0,222.0,1473.0,198.0,951.0,215.0,2949.0,10.0,66.0,9.0,450.0,130.0,1025.0,139.0,38.0,1118.0,6.0,23.0,6.0,2.0,20.0,10.0,87.0,10.0,2.0,121.0,83.0,908.0,117.0,51.0,1196.0,9.0,89.0,12.0,3.0,164.0,28.0,263.0,51.0,42.0,425.0,64.0,399.0,122.0,18.0,1066.0,133.0,698.0,167.0,34.0,696.0,45.0,303.0,72.0,2.0,575.0,2.0,15.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,30.0,148.0,29.0,8.0,137.0,194.0,1543.0,231.0,9.0,1947.0,0.0,0.0,0.0,0.0,0.0
11,Jharkhand,1341.0,600.0,626.0,870.0,288.0,98.0,106.0,337.0,748.0,271.0,294.0,929.0,520.0,239.0,283.0,648.0,1703.0,830.0,957.0,1387.0,413.0,218.0,247.0,268.0,698.0,284.0,305.0,535.0,538.0,1190.0,607.0,892.0,117.0,251.0,129.0,245.0,318.0,776.0,397.0,715.0,208.0,592.0,271.0,692.0,705.0,1575.0,826.0,1290.0,170.0,374.0,194.0,256.0,203.0,443.0,204.0,266.0,895.0,1141.0,895.0,435.0,176.0,192.0,439.0,192.0,468.0,109.0,143.0,266.0,143.0,2.0,57.0,251.0,455.0,251.0,230.0,139.0,202.0,444.0,202.0,249.0,133.0,159.0,299.0,159.0,226.0,72.0,235.0,324.0,235.0,149.0,26.0,251.0,492.0,251.0,180.0,13.0,111.0,298.0,111.0,81.0,75.0,30.0,87.0,30.0,15.0,5.0,1.0,16.0,1.0,6.0,46.0,101.0,199.0,11.0,85.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,365.0,534.0,156.0,309.0
12,Kartaka,10588.0,1891.0,2081.0,12565.0,3430.0,450.0,485.0,4575.0,8515.0,1556.0,1121.0,11061.0,3932.0,778.0,875.0,6072.0,11317.0,2464.0,2786.0,14635.0,2555.0,491.0,569.0,5159.0,4111.0,855.0,917.0,4592.0,2473.0,10752.0,3040.0,13930.0,361.0,2613.0,441.0,4172.0,1430.0,7661.0,1538.0,10676.0,861.0,3849.0,1039.0,4868.0,2229.0,8238.0,2691.0,11508.0,1172.0,5540.0,907.0,7342.0,959.0,5060.0,796.0,4335.0,3596.0,14965.0,3832.0,7691.0,8517.0,274.0,1252.0,287.0,738.0,1007.0,531.0,3011.0,619.0,1890.0,2421.0,1423.0,7847.0,1566.0,4423.0,5290.0,408.0,1765.0,450.0,1285.0,1342.0,173.0,937.0,206.0,508.0,652.0,796.0,4044.0,934.0,1898.0,4218.0,1536.0,5285.0,1669.0,2817.0,3112.0,669.0,2606.0,716.0,1445.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,1554.0,593.0,965.0,1407.0,0.0,0.0,0.0,0.0,0.0,243.0,1099.0,252.0,471.0,688.0
